archiveID,productID,product_name,product_description,deal_price,quantity,categoryID,conditionID,buyerID,sellerID,auctionable,dealdate,buyer_comment,seller_comment
1,3,samsung phone,samsung black galaxy note 8,650,1,2,1,1,3,0,05/02/2019,,
2,6,Arabica coffee bean,imported directly from Kenya,10.99,1,2,1,1,3,1,05/02/2019,The coffee bean is fake!!!,our coffee beans are authentic and quality is assured. Happy to follow up with you regarding any issue.
3,3,samsung phone,samsung black galaxy note 8,650,1,2,1,2,3,0,06/02/2019,,
4,1,macbook pro,macbook pro 15 inches brand new,1300,1,2,1,4,1,0,11/02/2019,Great price,
5,1,macbook pro,macbook pro 15 inches brand new,1300,1,2,1,4,1,0,15/02/2019,awesome price,
6,3,samsung phone,samsung black galaxy note 8,2600,4,2,1,4,3,0,15/02/2019,,
7,26,gravity blanket,gives you the warm you deserve!!,199.99,1,3,1,3,4,0,20/02/2019,looks awesome but does not keep me warm,glad that you like it!
8,2,mackbook pro,macbook pro industry restored,975,1,3,1,3,2,1,25/02/2019,product is used but still functions well,Thank you for purchasing!!
9,17,Pure gym,Pure gym membership (three months),21.98,2,2,1,1,2,1,26/02/2019,Great price,
10,7,Japanese seaweed,"8 packs of japanese seaweed, directly imported from Asia",4.5,3,50,2,2,1,1,27/02/2019,,
11,7,Japanese seaweed,"8 packs of japanese seaweed, directly imported from Asia",7.5,5,50,2,3,1,1,28/02/2019,,
12,17,Pure gym,Pure gym membership (three months),32.97,3,2,1,2,2,1,28/02/2019,membership is authentic,
13,7,Japanese seaweed,"8 packs of japanese seaweed, directly imported from Asia",3,2,50,2,4,1,1,01/03/2019,,
14,17,Pure gym,Pure gym membership (three months),10.99,1,2,1,3,2,1,03/03/2019,,
15,5,zara flower dress,zara flower dress (size: S),20,1,3,3,1,3,1,04/03/2019,pretty dress but the size doesn't fit,
16,9,Jay Chow concert tix,2 tickets (VIP) to Jay Chow concert in London,4900,2,8,1,4,2,1,04/03/2019,awesome price,Hope you enjoy!!
17,20,Amazon $50 giftcard,"Amazon giftcard for everything (food, home, books etc.)",40.55,1,9,1,3,4,1,05/03/2019,,
18,19,Amazon $50 giftcard,"Amazon giftcard for everything (food, home, books etc.)",37.5,1,9,1,2,4,1,07/03/2019,,
19,26,gravity blanket,gives you the warm you deserve!!,199.99,1,3,1,2,4,0,08/03/2019,great for winter!,glad that you like it!
